Company,Location HQ,# Laid Off,Date,%,Industry,Source,Stage,$ Raised (mm),Country,Date Added,Ticker
Sea,"Singapore,Non-U.S.",,2022-09-02,,Consumer,https://www.peoplematters.in/news/technology/singapores-sea-cuts-jobs-in-gaming-arm-in-second-round-of-layoffs-35132,Post-IPO,$8600,Singapore,9/2/2022,SEA
Shopify,"Ottawa,Non-U.S.",70.0,2022-09-01,,Retail,https://www.theinformation.com/briefings/shopify-makes-a-fresh-round-of-layoffs,Post-IPO,$122,Canada,9/1/2022,SHOP
Snap,Los Angeles,1280.0,2022-08-31,20%,Consumer,https://www.theverge.com/2022/8/30/23329301/snap-layoffs-20-percent-employees-snapchat,Post-IPO,$4900,United States,8/30/2022,SNAP
GoodRx,Los Angeles,140.0,2022-08-31,16%,Healthcare,https://seekingalpha.com/news/3879125-goodrx-laying-off-140-employees-16-of-workforce,Post-IPO,$910,United States,8/31/2022,GDRX
Hippo Insurance,SF Bay Area,70.0,2022-08-31,10%,Finance,https://www.globes.co.il/news/article.aspx?did=1001423046,Post-IPO,$1300,United States,8/31/2022,None
TCR2,Boston,30.0,2022-08-31,20%,Healthcare,https://www.fiercebiotech.com/biotech/scoop-tcr2-therapeutics-just-laid-40-its-staff-its-second-round-cuts-less-six-months,Post-IPO,$173,United States,1/19/2023,None
Skillz,SF Bay Area,,2022-08-29,,Consumer,https://seekingalpha.com/news/3876880-skillz-launches-headcount-reduction-plan-bruckheimer-leaves-board,Post-IPO,$287,United States,8/29/2022,SKLZ
Otonomo,"Tel Aviv,Non-U.S.",,2022-08-28,,Transportation,https://www.calcalistech.com/ctechnews/article/b12ifyk1j,Post-IPO,$231,Israel,10/26/2022,None
Okta,SF Bay Area,24.0,2022-08-26,,Security,https://www.unleash.ai/economy/okta-lays-off-us-sourcing-team/,Post-IPO,$1200,United States,8/26/2022,OKTA
Kogan,"Melbourne,Non-U.S.",,2022-08-23,,Retail,https://www.smartcompany.com.au/industries/retail/kogan-financial-report-losses-e-commerce-online-shopping/,Post-IPO,,Australia,8/24/2022,KGN.XA
Wayfair,Boston,870.0,2022-08-19,5%,Retail,https://www.bostonglobe.com/2022/08/19/business/wayfair-cuts-870-jobs-including-400-boston-it-reacts-decline-sales/,Post-IPO,$1700,United States,8/19/2022,W
New Relic,SF Bay Area,110.0,2022-08-18,5%,Infrastructure,https://www.marketwatch.com/story/new-relic-commits-to-restructuring-plan-including-layoffs-271660823014,Post-IPO,$214,United States,8/18/2022,None
Sema4,Stamford,250.0,2022-08-15,13%,Healthcare,https://ir.sema4.com/news-releases/news-release-details/sema4-announces-continued-restructuring-business-highlights-and,Post-IPO,$791,United States,8/15/2022,None
Blend,SF Bay Area,220.0,2022-08-15,12%,Finance,https://www.housingwire.com/articles/blend-takes-a-478m-loss-cuts-25-of-its-workforce/,Post-IPO,$665,United States,8/16/2022,BLND
ContraFect,New York City,16.0,2022-08-15,37%,Healthcare,https://www.benzinga.com/general/biotech/22/08/28497436/contrafect-cuts-workforce-after-trial-setback,Post-IPO,$380,United States,8/15/2022,CFRXQ
ThredUp,Chicago,,2022-08-15,15%,Retail,https://www.retaildive.com/news/thredup-lays-off-15-of-its-corporate-workforce-as-q2-losses-widen/629766/,Post-IPO,$305,United States,8/16/2022,TDUP
Peloton,New York City,784.0,2022-08-12,13%,Fitness,https://www.cnbc.com/2022/08/12/peloton-shares-jump-as-company-announces-price-hikes-for-some-products.html,Post-IPO,$1900,United States,8/12/2022,PTON
Core Scientific,Austin,,2022-08-12,10%,Crypto,https://blockworks.co/crypto-miner-core-scientific-downsizing-after-840m-impairment-charge/,Post-IPO,$169,United States,8/12/2022,CORZ
Guidewire,SF Bay Area,,2022-08-11,2%,Finance,Internal memo,Post-IPO,$24,United States,8/12/2022,GWRE
GoHealth,Chicago,800.0,2022-08-09,20%,Healthcare,https://www.chicagobusiness.com/technology/gohealth-lays-800-workers-online-health-insurance-seller-cuts-back,Post-IPO,$75,United States,8/11/2022,GOCO
Nutanix,SF Bay Area,270.0,2022-08-09,4%,Infrastructure,https://www.marketscreener.com/quote/stock/NUTANIX-INC-31497437/news/NUTANIX-INC-Costs-Associated-with-Exit-or-Disposal-Activities-form-8-K-41257917/,Post-IPO,$1100,United States,8/9/2022,NTNX
Quanterix,Boston,130.0,2022-08-09,25%,Healthcare,https://www.genomeweb.com/business-news/quanterix-slashing-workforce-25-percent-it-refocuses-commercial-efforts#.Y3J8V-zMK8B,Post-IPO,$533,United States,11/16/2022,QTRX
Wix,"Tel Aviv,Non-U.S.",100.0,2022-08-09,,Marketing,https://www.calcalistech.com/ctechnews/article/b1icqik0c,Post-IPO,$58,Israel,8/9/2022,WIX
Absci,"Vancouver,Non-U.S.",40.0,2022-08-09,,Healthcare,https://www.absci.com/message-from-ceo-08-09-2022/,Post-IPO,$237,United States,8/9/2022,ABSI
Berkeley Lights,SF Bay Area,,2022-08-09,12%,Healthcare,https://investors.berkeleylights.com/news/news-details/2022/Berkeley-Lights-Reports-Second-Quarter-2022-Financial-Results/default.aspx,Post-IPO,$272,United States,8/9/2022,None
Kaltura,New York City,,2022-08-09,10%,Media,https://en.globes.co.il/en/article-kaltura-laying-off-10-of-workforce-1001420938,Post-IPO,$166,United States,8/9/2022,KLTR
Shift,SF Bay Area,,2022-08-09,,Transportation,https://www.globenewswire.com/news-release/2022/08/09/2495362/0/en/Shift-Announces-Merger-with-CarLotz-a-New-Business-Plan-that-Enables-the-Company-to-Achieve-Profitability-in-2024-Appointment-of-new-CEO-also-Releases-Q2-Results.html,Post-IPO,$504,United States,8/9/2022,FOUR
Sweetgreen,Los Angeles,,2022-08-09,,Food,https://www.cnbc.com/2022/08/09/sweetgreen-stock-plummets-after-salad-chain-cuts-forecast-announces-layoffs.html,Post-IPO,$478,United States,8/9/2022,SG
Groupon,Chicago,500.0,2022-08-08,15%,Retail,https://techcrunch.com/2022/08/08/groupon-cuts-over-500-staff-as-the-downturn-takes-its-tolll/,Post-IPO,$1400,United States,8/8/2022,GRPN
Vroom,New York City,337.0,2022-08-08,,Transportation,https://www.autonews.com/dealers/vroom-earnings-q2-net-loss-1151-million-used-car-retailer-cuts-jobs,Post-IPO,$1300,United States,8/9/2022,VRM
Warby Parker,New York City,63.0,2022-08-08,,Consumer,https://www.businessinsider.com/warby-parker-lays-off-63-corporate-employees-internal-memo-2022-8,Post-IPO,$535,United States,8/9/2022,WRBY
Perion,"Tel Aviv,Non-U.S.",20.0,2022-08-08,5%,Marketing,https://en.globes.co.il/en/article-perion-network-lays-off-20-transfers-us-activities-to-israel-1001420801,Post-IPO,$76,Israel,8/8/2022,PERI
Doma,SF Bay Area,250.0,2022-08-04,13%,Finance,https://www.inman.com/2022/08/19/doma-announces-more-layoffs-as-cumulative-losses-top-300m/amp/,Post-IPO,$679,United States,8/5/2022,DHG.XA
10X Genomics,SF Bay Area,100.0,2022-08-04,8%,Healthcare,https://www.genomeweb.com/business-news/10x-genomics-lays-approximately-100-employees#.YuxWk-zMKqV,Post-IPO,$242,United States,8/4/2022,TXG
RingCentral,SF Bay Area,50.0,2022-08-04,,Support,https://www.bizjournals.com/sanfrancisco/news/2022/08/04/ringcentral-lays-off-50-at-belmont-headquarters.html,Post-IPO,$44,United States,8/4/2022,RNG
Beyond Meat,Los Angeles,40.0,2022-08-03,4%,Food,https://www.bloomberg.com/news/articles/2022-08-03/beyond-meat-eliminates-about-40-positions-in-cost-cutting-move,Post-IPO,$122,United States,8/4/2022,BYND
Robinhood,SF Bay Area,713.0,2022-08-02,23%,Finance,https://techcrunch.com/2022/08/02/robinhood-23-layoff-vlad-tenev-responsibility-hiring/,Post-IPO,$5600,United States,8/2/2022,HOOD
Latch,New York City,115.0,2022-08-02,37%,Security,https://www.globenewswire.com/news-release/2022/08/02/2490797/0/en/Latch-announces-further-changes-to-improve-operating-efficiency.html,Post-IPO,$342,United States,8/4/2022,LTCH
Butterfly Network,New Haven,,2022-08-02,10%,Healthcare,Internal memo,Post-IPO,$530,United States,8/3/2022,BFLY
FuboTV,New York City,,2022-08-02,,Media,https://www.businessinsider.com/fubotv-conducts-layoffs-in-us-2022-8,Post-IPO,$151,United States,8/3/2022,FUBO
Oracle,SF Bay Area,,2022-08-01,,Other,https://www.bloomberg.com/news/articles/2022-08-01/oracle-cuts-workers-in-us-customer-analytics-division?sref=Oeyjq8by#xj4y7vzkg,Post-IPO,,United States,11/16/2022,ORCL
MissFresh,"Beijing,Non-U.S.",,2022-07-29,,Food,https://technode.com/2022/07/29/chinese-online-grocer-missfresh-halts-core-business-and-begins-massive-layoff/,Post-IPO,$1700,China,7/29/2022,MFLTY
Laybuy,Auckland,45.0,2022-07-28,,Finance,https://www.stuff.co.nz/business/300648897/laybuy-to-cut-45-jobs-as-it-searches-for-profit,Post-IPO,$130,New Zealand,7/28/2022,None
Allbirds,SF Bay Area,23.0,2022-07-28,,Retail,Internal memo,Post-IPO,$202,United States,7/30/2022,BIRD
2U,Washington D.C.,,2022-07-28,20%,Education,https://www.insidehighered.com/news/2022/08/01/online-program-enabler-2u-resets-its-pricing-model,Post-IPO,$426,United States,7/30/2022,2U2.BE
Rivian,Detroit,840.0,2022-07-27,6%,Transportation,https://www.cnn.com/2022/07/27/business/rivian-layoffs/index.html,Post-IPO,$10700,United States,7/27/2022,RIVN
Shopify,"Ottawa,Non-U.S.",1000.0,2022-07-26,10%,Retail,https://www.wsj.com/articles/shopify-to-lay-off-10-of-workers-in-broad-shake-up-11658839047,Post-IPO,$122,Canada,7/26/2022,SHOP
Fiverr,"Tel Aviv,Non-U.S.",60.0,2022-07-26,8%,Other,https://en.globes.co.il/en/article-fiverr-lays-off-60-including-30-employees-in-israel-1001419413,Post-IPO,$111,Israel,7/26/2022,FVRR
Outbrain,New York City,38.0,2022-07-26,3%,Marketing,https://en.globes.co.il/en/article-fiverr-lays-off-60-including-30-employees-in-israel-1001419413,Post-IPO,$394,United States,7/26/2022,OB
Pear Therapeutics ,Boston,25.0,2022-07-25,9%,Healthcare,https://www.massdevice.com/pear-therapeutics-announces-layoffs/,Post-IPO,$409,United States,7/26/2022,None
Owlet,Lehi,,2022-07-22,,Healthcare,https://www.linkedin.com/feed/update/urn:li:activity:6957832944329580544/,Post-IPO,$178,United States,8/2/2022,OWLT
AppGate,Miami,130.0,2022-07-21,22%,Security,https://m.marketscreener.com/quote/stock/APPGATE-INC-128303647/news/APPGATE-INC-Costs-Associated-with-Exit-or-Disposal-Activities-form-8-K-41078857/,Post-IPO,,United States,7/27/2022,None
Just Eat Takeaway,"Amsterdam,Non-U.S.",390.0,2022-07-20,,Food,https://www.reuters.com/business/retail-consumer/just-eat-takeaway-cut-staff-france-spokesperson-says-2022-07-20/,Post-IPO,$2800,Netherlands,7/20/2022,TKWY.AS
Lyft,SF Bay Area,60.0,2022-07-20,2%,Transportation,https://www.wsj.com/articles/lyft-lays-off-about-60-employees-folds-its-car-rentals-for-riders-11658340622,Post-IPO,$4900,United States,7/20/2022,LYFT
Invitae,SF Bay Area,1000.0,2022-07-19,,Healthcare,https://www.genomeweb.com/business-news/invitae-lay-over-1000-workers-amid-restructuring-leadership-transition#.YtbajOzMK8D,Post-IPO,$2000,United States,7/19/2022,None
Vimeo,New York City,,2022-07-18,6%,Consumer,https://www.businessinsider.com/vimeo-conducts-layoffs-job-cuts-2022-7,Post-IPO,$450,United States,7/18/2022,VMEO
Arrival,"London,Non-U.S.",,2022-07-13,30%,Transportation,https://techcrunch.com/2022/07/13/arrival-to-slash-costs-cut-up-to-30-of-workforce-to-meet-on-ev-van-production-target/,Post-IPO,$629,United Kingdom,7/14/2022,ARVLF
Babylon,"London,Non-U.S.",100.0,2022-07-12,,Healthcare,https://www.bloomberg.com/news/articles/2022-07-12/uk-health-app-babylon-plans-job-cuts-in-bid-to-slash-costs#xj4y7vzkg,Post-IPO,$1100,United Kingdom,7/24/2022,BBLNF
Microsoft,Seattle,,2022-07-12,,Other,https://www.cnbc.com/2022/07/12/microsoft-cuts-small-percentage-of-employees-as-new-fiscal-year-begins.html,Post-IPO,$1,United States,11/14/2022,MSFT
Twitter,SF Bay Area,,2022-07-07,,Consumer,https://www.wsj.com/articles/twitter-lays-off-third-of-talent-team-11657227105,Post-IPO,$5700,United States,7/7/2022,EBT-USD
Shopify,"Ottawa,Non-U.S.",50.0,2022-07-06,,Retail,https://www.theglobeandmail.com/business/article-shopify-compensation-hiring-plans/,Post-IPO,$122,Canada,7/6/2022,SHOP
Canoo,Los Angeles,58.0,2022-07-01,6%,Transportation,https://www.businessinsider.com/canoo-layoffs-production-goals-electric-vehicle-startup-2022-6,Post-IPO,$300,United States,7/1/2022,GOEV
Enjoy,SF Bay Area,400.0,2022-06-30,18%,Retail,https://news.crunchbase.com/public/bankruptcy-enjoy-apple-ron-johnson/,Post-IPO,$310,United States,6/30/2022,LEE-USD
Unity,SF Bay Area,200.0,2022-06-29,4%,Other,https://kotaku.com/sources-unity-laying-off-hundreds-of-staffers-1849125482,Post-IPO,$1300,United States,6/29/2022,U
AppLovin,SF Bay Area,300.0,2022-06-27,12%,Marketing,https://www.bizjournals.com/sanjose/news/2022/06/29/applovin-lays-off-300-workers-report.html,Post-IPO,$1600,United States,6/27/2022,APP
UiPath,New York City,210.0,2022-06-27,5%,Data,https://www.cnbc.com/2022/06/27/uipath-to-cut-5percent-of-its-workforce-as-part-of-restructuring-plan.html,Post-IPO,$2000,United States,6/27/2022,PATH
Cue,San Diego,170.0,2022-06-27,,Healthcare,https://www.genomeweb.com/business-news/cue-health-lay-170-people#.YrpDa-zML9t,Post-IPO,$999,United States,6/27/2022,CUE
Banxa,"Melbourne,Non-U.S.",70.0,2022-06-27,30%,Crypto,https://decrypt.co/103891/australian-crypto-firm-banxa-cut-staff-30-citing-another-crypto-winter,Post-IPO,$13,Australia,6/27/2022,AC00.F
Netflix,SF Bay Area,300.0,2022-06-23,3%,Media,https://www.cnbc.com/2022/06/23/netflix-lays-off-300-more-employees-as-revenue-growth-continues-to-slow.html,Post-IPO,$121900,United States,6/23/2022,NFLX
IronNet,Washington D.C.,90.0,2022-06-22,35%,Security,https://www.crn.com/news/security/ironnet-lays-off-35-percent-of-staff-raises-going-concern-red-flag,Post-IPO,$410,United States,9/17/2022,None
IronNet,Washington D.C.,55.0,2022-06-22,17%,Security,https://ir.ironnet.com/financials/all-sec-filings##document-520-0001193125-22-180852-1,Post-IPO,$410,United States,6/24/2022,None
Sprinklr,New York City,50.0,2022-06-22,,Support,https://www.businessinsider.com/sprinklr-layoff-marketing-department-martech-2022-7,Post-IPO,$429,United States,6/25/2022,CXM
TaskUs,Los Angeles,52.0,2022-06-21,0%,Support,Internal memo,Post-IPO,$279,United States,6/21/2022,TASK
Coinbase,SF Bay Area,1100.0,2022-06-14,18%,Crypto,https://www.cnbc.com/2022/06/14/coinbase-lays-off-18percent-as-execs-prepare-for-recession-crypto-winter.html,Post-IPO,$549,United States,6/14/2022,COIN
Redfin,Seattle,470.0,2022-06-14,8%,Real Estate,https://www.streetinsider.com/dr/news.php?id=20212223&gfv=1,Post-IPO,$319,United States,6/14/2022,RDFN
Compass,New York City,450.0,2022-06-14,10%,Real Estate,https://www.bloomberg.com/news/articles/2022-06-14/compass-to-cut-about-10-of-workforce-amid-us-housing-slowdown#xj4y7vzkg,Post-IPO,$1600,United States,6/14/2022,CMPS
Desktop Metal,Boston,,2022-06-13,12%,Other,https://www.marketwatch.com/amp/story/desktop-metal-to-lay-off-about-12-of-workforce-271655121739,Post-IPO,$811,United States,6/13/2022,None
Stitch Fix,SF Bay Area,330.0,2022-06-09,15%,Retail,https://www.cnbc.com/2022/06/09/stitch-fix-is-laying-off-15percent-of-its-salaried-employees-internal-memo-says.html,Post-IPO,$79,United States,6/9/2022,SFIX
Boozt,"Malmo,Non-U.S.",70.0,2022-06-09,5%,Retail,https://www.breakit.se/artikel/33353/sparpaket-pa-boozt-efter-vinstsmallen-sager-upp-personal,Post-IPO,$56,Sweden,7/24/2022,BOK.F
Sonder,SF Bay Area,250.0,2022-06-08,21%,Travel,Internal memo,Post-IPO,$839,United States,6/8/2022,SOND
Cazoo,"London,Non-U.S.",750.0,2022-06-07,15%,Transportation,https://news.sky.com/story/car-retailer-cazoo-to-cut-750-jobs-after-inflation-hit-12629350,Post-IPO,$2000,United Kingdom,6/7/2022,CZOOF
Cazoo,"London,Non-U.S.",750.0,2022-06-07,15%,Transportation,https://sifted.eu/articles/cazoo-layoffs-european-union/,Post-IPO,$2000,United Kingdom,9/8/2022,CZOOF
Bird,Los Angeles,138.0,2022-06-07,23%,Transportation,Internal memo,Post-IPO,$783,United States,6/7/2022,BIRD
Tesla,Austin,,2022-06-03,10%,Transportation,https://www.cnbc.com/2022/06/03/heres-the-email-elon-musk-sent-all-tesla-employees-10percent-job-cuts.html,Post-IPO,$20200,United States,11/9/2022,TSLA
TomTom,"Amsterdam,Non-U.S.",500.0,2022-06-01,10%,Transportation,https://www.businessinsider.com/tomtom-gps-navigation-tech-layoffs-employees-maps-unit-2022-6,Post-IPO,,Netherlands,1/24/2023,0MKS.IL
Playtika,"Tel Aviv,Non-U.S.",250.0,2022-05-31,6%,Consumer,https://en.globes.co.il/en/article-israeli-mobile-games-co-playtika-to-lay-off-250-1001413811,Post-IPO,,Israel,5/31/2022,PLTK
SWVL,"Dubai,Non-U.S.",400.0,2022-05-30,32%,Transportation,https://techcrunch.com/2022/05/30/swvl-plans-to-lay-off-32-of-its-team-two-months-after-going-public/,Post-IPO,$132,United Arab Emirates,5/30/2022,SWVL
VTEX,"Sao Paulo,Non-U.S.",200.0,2022-05-26,13%,Retail,https://www.bloomberglinea.com.br/2022/05/26/inverno-chegou-unicornios-vtex-e-bitso-fazem-demissao-em-massa/,Post-IPO,$365,Brazil,5/26/2022,VTEX
PayPal,SF Bay Area,83.0,2022-05-23,,Finance,https://www.bizjournals.com/sanjose/news/2022/05/23/paypal-lays-off-83-workers-from-san-jose-hq.html,Post-IPO,$216,United States,5/25/2022,PYPL
Latch,New York City,130.0,2022-05-20,28%,Security,https://www.globenewswire.com/news-release/2022/05/20/2447915/0/en/Latch-resets-cost-structure.html,Post-IPO,$342,United States,5/21/2022,LTCH
Skillz,SF Bay Area,70.0,2022-05-20,10%,Consumer,https://techcrunch.com/2022/05/20/startup-tech-layoff-may-week-3/,Post-IPO,$287,United States,5/21/2022,SKLZ
Netflix,SF Bay Area,150.0,2022-05-17,1%,Media,https://www.cnbc.com/2022/05/17/netflix-lays-off-150-employees-as-the-streaming-service-contends-with-big-subscriber-losses.html,Post-IPO,$121900,United States,5/17/2022,NFLX
Carvana,Phoenix,2500.0,2022-05-10,12%,Transportation,https://techcrunch.com/2022/05/10/carvana-to-cut-2500-staff-as-it-struggles-with-overcapacity/,Post-IPO,$1600,United States,5/10/2022,CVNA
Doma,SF Bay Area,310.0,2022-05-10,15%,Finance,https://www.housingwire.com/articles/doma-lays-off-15-of-work-force-as-q1-revenue-declines/,Post-IPO,$679,United States,5/12/2022,DHG.XA
Latch,New York City,30.0,2022-05-10,6%,Security,https://techcrunch.com/2022/05/13/startup-tech-layoff-and-hiring-freeze-in-may/,Post-IPO,$342,United States,5/11/2022,LTCH
Vroom,New York City,270.0,2022-05-09,14%,Transportation,https://www.marketwatch.com/amp/story/vroom-names-shortt-as-ceo-amid-business-realignment-shares-up-after-hours-271652132516,Post-IPO,$1300,United States,5/9/2022,VRM
Netflix,SF Bay Area,25.0,2022-04-28,,Media,https://www.thewrap.com/netflix-layoffs-tudum-site-marketing-department/,Post-IPO,$121900,United States,5/11/2022,NFLX
Robinhood,SF Bay Area,340.0,2022-04-26,9%,Finance,https://www.cnbc.com/2022/04/26/robinhood-cutting-about-9percent-of-full-time-employees.html,Post-IPO,$5600,United States,4/26/2022,HOOD
Lemonade,New York City,52.0,2022-04-20,,Finance,https://coverager.com/layoffs-at-lemonade/,Post-IPO,$481,United States,5/27/2022,LMND
Blend,SF Bay Area,200.0,2022-04-19,10%,Finance,https://www.housingwire.com/articles/blend-lays-off-200-workers-as-mortgage-industry-sputters/,Post-IPO,$665,United States,4/19/2022,BLND
Goodfood,"Calgary,Non-U.S.",70.0,2022-04-07,,Food,https://thelogic.co/news/exclusive/meal-kit-pioneer-goodfood-goes-through-another-round-of-staff-cuts-amid-struggles-with-supply-chain-inflation/,Post-IPO,$16,Canada,8/11/2022,FOOD.TO
Legible,"Vancouver,Non-U.S.",23.0,2022-04-04,38%,Media,https://betakit.com/in-effort-to-cut-costs-cse-listed-legible-lays-off-over-a-third-of-its-employees/,Post-IPO,$3,Canada,4/15/2022,D0T.F
Sea,"Bengaluru,Non-U.S.",350.0,2022-03-30,,Retail,https://www.techinasia.com/shopee-indias-over-300-staff-lurch-checks-out-country,Post-IPO,$8600,India,3/30/2022,SEA
Thinkific,"Vancouver,Non-U.S.",100.0,2022-03-29,20%,Education,https://betakit.com/following-2021-losses-thinkific-to-lay-off-100-employees/,Post-IPO,$22,Canada,3/29/2022,THNC.TO
Storytel,"Stockholm,Non-U.S.",100.0,2022-03-17,10%,Media,https://www.svt.se/kultur/storytel-pausar-planen-om-varldsherravalde-pa-ljudboksmarknaden,Post-IPO,$275,Sweden,5/17/2022,DST.F
Talis Biomedical,SF Bay Area,,2022-03-15,25%,Healthcare,https://www.fool.com/earnings/call-transcripts/2022/03/15/talis-biomedical-corporation-tlis-q4-2021-earnings/,Post-IPO,$8,United States,6/17/2022,TLIS
Sezzle,Minneapolis,,2022-03-10,20%,Finance,https://www.protocol.com/fintech/sezzle-zip-layoffs,Post-IPO,$301,United States,3/10/2022,SEZL
Adaptive Biotechnologies,Seattle,100.0,2022-03-08,12%,Healthcare,https://www.geekwire.com/2022/adaptive-biotechnologies-lays-off-about-100-people-12-of-headcount-to-streamline-our-workforce/,Post-IPO,$406,United States,5/29/2022,ADPT
Wish,SF Bay Area,190.0,2022-03-01,15%,Retail,https://www.marketwatch.com/story/wish-stock-dives-as-holiday-sales-miss-layoffs-planned-11646170199,Post-IPO,$1600,United States,5/13/2022,WISH
Peloton,New York City,2800.0,2022-02-08,20%,Fitness,https://techcrunch.com/2022/02/08/peloton-ceo-steps-down-as-the-company-cuts-2800-jobs/,Post-IPO,$1900,United States,2/8/2022,PTON
Root Insurance,Columbus,330.0,2022-01-20,,Finance,https://coverager.com/root-lays-off-a-significant-number-of-employees/,Post-IPO,$527,United States,1/23/2022,None
Delivery Hero,"Berlin,Non-U.S.",300.0,2021-12-22,,Food,https://www.businessinsider.de/gruenderszene/food/nach-foodpanda-aus-delivery-hero-kuendigt-300-mitarbeitern-b/,Post-IPO,$8300,Germany,12/30/2021,DHER.DE
Zillow,Seattle,2000.0,2021-11-02,25%,Real Estate,https://www.geekwire.com/2021/zillow-shutter-home-buying-business-lay-off-2k-employees-big-real-estate-bet-falters/,Post-IPO,$97,United States,11/2/2021,Z
Zymergen,SF Bay Area,120.0,2021-09-23,,Other,https://www.bizjournals.com/sanfrancisco/news/2021/09/23/zymergen-job-cuts-synthetic-biology-hyaline.html,Post-IPO,$974,United States,9/25/2021,None
Casper,New York City,,2021-09-14,,Retail,https://techcrunch.com/2021/09/14/casper-cuts-its-cmo-cto-and-coo-amid-further-layoffs/,Post-IPO,$339,United States,9/14/2021,CSPR-USD
New Relic,SF Bay Area,160.0,2021-04-06,7%,Infrastructure,https://siliconangle.com/2021/04/06/new-relic-let-go-7-employees-amid-business-model-refocus/,Post-IPO,$215,United States,4/6/2021,None
Dropbox,SF Bay Area,315.0,2021-01-13,15%,Other,https://www.cnbc.com/2021/01/13/dropbox-to-cut-11percent-of-its-global-workforce.html,Post-IPO,$1700,United States,1/13/2021,DBX
LivePerson,New York City,30.0,2020-11-01,,Support,https://en.globes.co.il/en/article-liveperson-to-lay-off-30-in-israel-1001347824#,Post-IPO,$42,United States,1/21/2023,LPSN
Akerna,Denver,,2020-09-02,,Logistics,https://mjbizdaily.com/cannabis-tech-platform-akernas-ample-organics-acquisition-spurs-layoffs-leadership-changes/,Post-IPO,,United States,9/4/2020,None
MakeMyTrip,"New Delhi,Non-U.S.",350.0,2020-08-31,10%,Travel,https://yourstory.com/2020/08/makemytrip-restructuring-layoffs-deep-kalra,Post-IPO,$548,India,9/2/2020,MMYT
Salesforce,SF Bay Area,1000.0,2020-08-26,2%,Sales,https://www.bloomberg.com/news/articles/2020-08-26/salesforce-cuts-1-000-jobs-after-banner-quarter-stock-surge,Post-IPO,$65,United States,8/26/2020,CRM
Superloop,"Brisbane,Non-U.S.",30.0,2020-08-24,,Infrastructure,https://www.arnnet.com.au/article/682373/superloop-reduces-losses-30-workers-laid-off-amid-covid-19/,Post-IPO,$36,Australia,6/26/2022,SLC.XA
Shopify,"Ottawa,Non-U.S.",30.0,2020-08-14,,Retail,https://betakit.com/shopify-cuts-office-staff-amid-remote-work-shift/,Post-IPO,$122,Canada,8/14/2020,SHOP
Yelp,SF Bay Area,63.0,2020-07-13,,Consumer,https://www.cnbc.com/2020/07/13/yelp-will-bring-back-most-of-its-1100-furloughed-employees-next-month.html,Post-IPO,$56,United States,7/13/2020,YELP
Funding Circle,SF Bay Area,85.0,2020-07-08,,Finance,https://www.altfi.com/article/6790_funding-circle-joins-bounce-back-loan-scheme-as-it-cuts-us-headcount-by-85,Post-IPO,$746,United States,7/9/2020,FCA.SG
OnDeck,New York City,,2020-07-08,,Finance,https://debanked.com/2020/07/layoffs-at-ondeck/,Post-IPO,$1200,United States,7/13/2020,7360.T
New Relic,Portland,20.0,2020-06-29,,Infrastructure,https://www.bizjournals.com/portland/news/2020/06/29/layoffs-at-new-relic-as-company-combines-2-enginee.html,Post-IPO,$215,United States,6/30/2020,None
GoDaddy,Austin,451.0,2020-06-24,6%,Marketing,https://domainnamewire.com/2020/06/24/godaddy-plans-layoffs-and-is-closing-austin-offices/,Post-IPO,,United States,6/24/2020,GDDY
Sonos,New York City,174.0,2020-06-24,12%,Consumer,https://www.cnbc.com/2020/06/24/sonos-says-its-cutting-12percent-of-global-employees-because-of-covid-19.html,Post-IPO,$455,United States,6/24/2020,SONO
Intuit,SF Bay Area,715.0,2020-06-22,7%,Finance,https://intuitblog.com/news-social/a-message-from-intuit-ceo-sasan-goodarzi-to-intuit-employees/,Post-IPO,$18,United States,6/22/2020,ISRG
Splunk,SF Bay Area,70.0,2020-06-16,1%,Data,https://www.bloomberg.com/news/articles/2020-06-17/splunk-joins-tech-s-belt-tightening-with-plan-to-shed-staff,Post-IPO,$40,United States,6/18/2020,None
Uber,"Amsterdam,Non-U.S.",225.0,2020-06-12,25%,Transportation,https://www.dutchnews.nl/news/2020/06/uber-cuts-amsterdam-workforce-by-15-some-200-jobs-to-go/,Post-IPO,$24700,Netherlands,6/27/2020,UBER
Stitch Fix,SF Bay Area,1400.0,2020-06-01,18%,Retail,https://www.cnbc.com/2020/06/01/stitch-fix-is-laying-off-1400-in-california-18percent-of-workforce.html,Post-IPO,$79,United States,6/1/2020,SFIX
MakeMyTrip,"Gurugram,Non-U.S.",350.0,2020-06-01,10%,Travel,https://www.livemint.com/companies/news/covid-19-lockdown-makemytrip-to-lay-off-10-of-its-workforce-as-revenues-hit-11591008074698.html,Post-IPO,$548,India,6/3/2020,MMYT
TrueCar,Los Angeles,219.0,2020-05-28,30%,Transportation,https://labusinessjournal.com/news/2020/jun/01/truecar-lays-30-staff/,Post-IPO,$340,United States,5/28/2020,TRUE
Uber,Bengaluru,600.0,2020-05-26,23%,Transportation,https://www.reuters.com/article/us-india-uber-layoffs/uber-cuts-600-jobs-in-india-as-lockdown-hits-business-idUSKBN2320S3,Post-IPO,$24700,India,5/26/2020,UBER
